file,rows,cols
AbState.shn,777,19
AbStateSaveTypeInfo.shn,4,4
AccUpGradeInfo.shn,3540,40
AccUpgrade.shn,60,6
ActionEffectAbState.shn,0,3
ActionEffectItem.shn,372,3
ActionRangeFactor.shn,8,4
ActionViewInfo.shn,105,10
ActiveSkill.shn,2791,96
ActiveSkillGroup.shn,2151,2
ActiveSkillInfoServer.shn,2791,19
AdminLvSet.shn,54,2
AnnounceData.shn,14,3
AreaSkill.shn,92,5
AttendReward.shn,7,4
AttendSchedule.shn,1,7
BMP.shn,52,2
BRAccUpgrade.shn,45,6
BRAccUpgradeInfo.shn,6,24
BadNameFilter.shn,1175,2
BelongDice.shn,1,1
BelongTypeInfo.shn,11,7
CharacterTitleData.shn,128,15
CharacterTitleStateServer.shn,823,4
ChargedDeletableBuff.shn,4,1
ChargedEffect.shn,4546,6
ChatColor.shn,22,4
ClassName.shn,28,4
CollectCard.shn,334,4
CollectCardDropRate.shn,334,2
CollectCardGroupDesc.shn,187,2
CollectCardMobGroup.shn,1180,2
CollectCardReward.shn,18,5
CollectCardStarRate.shn,12,3
CollectCardTitle.shn,52,2
ColorInfo.shn,52,4
DamageLvGapEVP.shn,24,2
DamageLvGapPVE.shn,24,2
DamageLvGapPVP.shn,151,151
DiceDividind.shn,1,16
DiceGame.shn,5,14
DiceRate.shn,216,1
EnchantSocketRate.shn,5,4
ErrorCodeTable.shn,709,2
FaceInfo.shn,48,27
FieldLvCondition.shn,74,4
FriendPointReward.shn,97,3
GBBanTime.shn,1,3
GBDiceDividind.shn,1,16
GBDiceGame.shn,1,3
GBDiceRate.shn,216,1
GBEventCode.shn,14,3
GBExchangeMaxCoin.shn,125,2
GBHouse.shn,1,5
GBJoinGameMember.shn,2,3
GBReward.shn,1,3
GBSMAll.shn,9,4
GBSMBetCoin.shn,3,2
GBSMCardRate.shn,9,2
GBSMCenter.shn,1,2
GBSMGroup.shn,12,2
GBSMJPRate.shn,4,3
GBSMLine.shn,11,3
GBSMNPC.shn,24,2
GBTaxRate.shn,2,4
GTIBreedSubject.shn,6,2
GTIGetRate.shn,20,7
GTIGetRateGap.shn,3,2
GTIServer.shn,23,7
GTWinScore.shn,1,1
Gather.shn,6,9
GradeItemOption.shn,3857,16
GroupAbState.shn,9,3
GuildAcademy.shn,1,4
GuildAcademyLevelUp.shn,51,3
GuildAcademyRank.shn,4,4
GuildGradeData.shn,5,10
GuildGradeScoreData.shn,7,7
GuildLevelScoreData.shn,3,2
GuildTournament.shn,7,18
GuildTournamentLvGap.shn,6,3
