file,col_index,col_name,type,len
AbState.shn,0,ID,2,2
AbState.shn,1,InxName,9,32
AbState.shn,2,AbStataIndex,11,4
AbState.shn,3,KeepTimeRatio,3,4
AbState.shn,4,KeepTimePower,1,1
AbState.shn,5,StateGrade,1,1
AbState.shn,6,PartyState1,9,32
AbState.shn,7,PartyState2,9,32
AbState.shn,8,PartyState3,9,32
AbState.shn,9,PartyState4,9,32
AbState.shn,10,PartyState5,9,32
AbState.shn,11,PartyRange,3,4
AbState.shn,12,PartyEnchantNumber,3,4
AbState.shn,13,SubAbState,9,32
AbState.shn,14,DispelIndex,11,4
AbState.shn,15,SubDispelIndex,11,4
AbState.shn,16,AbStateSaveType,11,4
AbState.shn,17,MainStateInx,9,32
AbState.shn,18,Duplicate,1,1
AbStateSaveTypeInfo.shn,0,AbStateSaveType,11,4
AbStateSaveTypeInfo.shn,1,IsSaveLink,1,1
AbStateSaveTypeInfo.shn,2,IsSaveDie,1,1
AbStateSaveTypeInfo.shn,3,IsSaveLogoff,1,1
AccUpGradeInfo.shn,0,ID,2,2
AccUpGradeInfo.shn,1,InxName,9,32
AccUpGradeInfo.shn,2,UpFactor,11,4
AccUpGradeInfo.shn,3,Success,2,2
AccUpGradeInfo.shn,4,Min1,2,2
AccUpGradeInfo.shn,5,Max1,2,2
AccUpGradeInfo.shn,6,Limit1,2,2
AccUpGradeInfo.shn,7,Min2,2,2
AccUpGradeInfo.shn,8,Max2,2,2
AccUpGradeInfo.shn,9,Limit2,2,2
AccUpGradeInfo.shn,10,Min3,2,2
AccUpGradeInfo.shn,11,Max3,2,2
AccUpGradeInfo.shn,12,Limit3,2,2
AccUpGradeInfo.shn,13,Min4,2,2
AccUpGradeInfo.shn,14,Max4,2,2
AccUpGradeInfo.shn,15,Limit4,2,2
AccUpGradeInfo.shn,16,Min5,2,2
AccUpGradeInfo.shn,17,Max5,2,2
AccUpGradeInfo.shn,18,Limit5,2,2
AccUpGradeInfo.shn,19,Min6,2,2
AccUpGradeInfo.shn,20,Max6,2,2
AccUpGradeInfo.shn,21,Limit6,2,2
AccUpGradeInfo.shn,22,Min7,2,2
AccUpGradeInfo.shn,23,Max7,2,2
AccUpGradeInfo.shn,24,Limit7,2,2
AccUpGradeInfo.shn,25,Min8,2,2
AccUpGradeInfo.shn,26,Max8,2,2
AccUpGradeInfo.shn,27,Limit8,2,2
AccUpGradeInfo.shn,28,Min9,2,2
AccUpGradeInfo.shn,29,Max9,2,2
AccUpGradeInfo.shn,30,Limit9,2,2
AccUpGradeInfo.shn,31,Min10,2,2
AccUpGradeInfo.shn,32,Max10,2,2
AccUpGradeInfo.shn,33,Limit10,2,2
AccUpGradeInfo.shn,34,Min11,2,2
AccUpGradeInfo.shn,35,Max11,2,2
AccUpGradeInfo.shn,36,Limit11,2,2
AccUpGradeInfo.shn,37,Min12,2,2
AccUpGradeInfo.shn,38,Max12,2,2
AccUpGradeInfo.shn,39,Limit12,2,2
AccUpgrade.shn,0,ID,3,4
AccUpgrade.shn,1,CriFail,2,2
AccUpgrade.shn,2,DownFail,2,2
AccUpgrade.shn,3,NormalFail,2,2
AccUpgrade.shn,4,nCon,2,2
AccUpgrade.shn,5,LuckySuc,2,2
ActionEffectAbState.shn,0,InxName,9,32
ActionEffectAbState.shn,1,Strength,3,4
ActionEffectAbState.shn,2,ItemActionID,2,2
ActionEffectItem.shn,0,SHINE_ITEM_ID,2,2
ActionEffectItem.shn,1,ItemActionID,2,2
ActionEffectItem.shn,2,EnchantMaxLot,1,1
ActionRangeFactor.shn,0,ActionRangeIndex,11,4
ActionRangeFactor.shn,1,RangeType,11,4
ActionRangeFactor.shn,2,RangeStart,2,2
ActionRangeFactor.shn,3,RangeEnd,2,2
ActionViewInfo.shn,0,nIndex,1,1
ActionViewInfo.shn,1,InxName,9,32
ActionViewInfo.shn,2,ActionName,9,32
ActionViewInfo.shn,3,LinkActionIndex,2,2
ActionViewInfo.shn,4,IconFileName,9,32
ActionViewInfo.shn,5,nIconNum,2,2
ActionViewInfo.shn,6,eActionType,11,4
ActionViewInfo.shn,7,nEventCode,3,4
ActionViewInfo.shn,8,nAfterCode,3,4
ActionViewInfo.shn,9,IsDance,1,1
ActiveSkill.shn,0,ID,2,2
ActiveSkill.shn,1,InxName,9,32
ActiveSkill.shn,2,Name,9,64
ActiveSkill.shn,3,Grade,3,4
ActiveSkill.shn,4,Step,3,4
ActiveSkill.shn,5,MaxStep,3,4
ActiveSkill.shn,6,DemandType,11,4
ActiveSkill.shn,7,DemandSk,9,32
ActiveSkill.shn,8,UseItem,2,2
ActiveSkill.shn,9,ItemNumber,3,4
ActiveSkill.shn,10,ItemOption,3,4
ActiveSkill.shn,11,DemandItem1,2,2
ActiveSkill.shn,12,DemandItem2,2,2
ActiveSkill.shn,13,SP,3,4
ActiveSkill.shn,14,SPRate,3,4
ActiveSkill.shn,15,HP,3,4
ActiveSkill.shn,16,HPRate,3,4
ActiveSkill.shn,17,LP,3,4
ActiveSkill.shn,18,Range,3,4
ActiveSkill.shn,19,First,11,4
ActiveSkill.shn,20,Last,11,4
ActiveSkill.shn,21,IsMovingSkill,1,1
ActiveSkill.shn,22,UsableDegree,2,2
ActiveSkill.shn,23,DirectionRotate,2,2
ActiveSkill.shn,24,SkillDegree,2,2
ActiveSkill.shn,25,SkillTargetState,11,4
ActiveSkill.shn,26,CastTime,3,4
ActiveSkill.shn,27,DlyTime,3,4
ActiveSkill.shn,28,DlyGroupNum,3,4
ActiveSkill.shn,29,DlyTimeGroup,3,4
ActiveSkill.shn,30,MinWC,3,4
ActiveSkill.shn,31,MinWCRate,3,4
ActiveSkill.shn,32,MaxWC,3,4
ActiveSkill.shn,33,MaxWCRate,3,4
ActiveSkill.shn,34,MinMA,3,4
ActiveSkill.shn,35,MinMARate,3,4
