File,System / File Purpose,Extension,Size Bytes,Kind,Parsed Columns,Parsed Formats,Notes
AbState/AbStateInfo.dat,buff/debuff/abnormal state definitions,.dat,1044,Binary/resource/no parsed columns,0,,
AbState/StaArcDmgDown.dat,Sta Arc Dmg Down data/configuration,.dat,3024,Binary/resource/no parsed columns,0,,
AbState/StaCleDefDown.dat,Sta Cle defense Down data/configuration,.dat,3024,Binary/resource/no parsed columns,0,,
AbState/StaCleHold.dat,Sta Cle Hold data/configuration,.dat,1212,Binary/resource/no parsed columns,0,,
AbState/StaDodge.dat,Sta Dodge data/configuration,.dat,3024,Binary/resource/no parsed columns,0,,
AbState/StaHardSkin.dat,Sta Hard Skin data/configuration,.dat,2420,Binary/resource/no parsed columns,0,,
AbState/StaLightDmg.dat,Sta Light Dmg data/configuration,.dat,2420,Binary/resource/no parsed columns,0,,
AbState/StaMagSpdDown.dat,Sta Mag Spd Down data/configuration,.dat,1816,Binary/resource/no parsed columns,0,,
AbState/StaRingShield.dat,Sta Ring Shield data/configuration,.dat,2420,Binary/resource/no parsed columns,0,,
AbState/StaShield.dat,Sta Shield data/configuration,.dat,2420,Binary/resource/no parsed columns,0,,
AbState/StaVine.dat,Sta Vine data/configuration,.dat,1212,Binary/resource/no parsed columns,0,,
AbState.shn,buff/debuff/abnormal state definitions,.shn,227223,Tabular SHN,19,SHN,
AbStateSaveTypeInfo.shn,buff/debuff persistence/save behavior,.shn,312,Tabular SHN,4,SHN,
AccUpGradeInfo.shn,accessory upgrade/enhancement rules,.shn,405852,Tabular SHN,40,SHN,
AccUpgrade.shn,accessory upgrade/enhancement rules,.shn,1348,Tabular SHN,6,SHN,
ActionEffectAbState.shn,buff/debuff/abnormal state definitions,.shn,220,Tabular SHN,3,SHN,
ActionEffectItem.shn,action effects that give/use/change items,.shn,2824,Tabular SHN,3,SHN,
ActionRangeFactor.shn,range/area scaling for actions,.shn,388,Tabular SHN,4,SHN,
ActionViewInfo.shn,visual/display data for actions,.shn,12792,Tabular SHN,10,SHN,
ActiveSkill.shn,active skill definitions,.shn,1883771,Tabular SHN,96,SHN,
ActiveSkillGroup.shn,active skill definitions,.shn,81902,Tabular SHN,2,SHN,
ActiveSkillInfoServer.shn,active skill definitions,.shn,224396,Tabular SHN,19,SHN,
AdminLvSet.shn,Admin level Set data/configuration,.shn,1352,Tabular SHN,2,SHN,
AnnounceData.shn,Announce Data data/configuration,.shn,3944,Tabular SHN,3,SHN,
AreaBMP/ArkAstanica_Skill01_W.bmp,skill definitions and behavior,.bmp,41080,Binary/resource/no parsed columns,0,,
AreaBMP/ArkAstron_Skill02_W.bmp,skill definitions and behavior,.bmp,104760,Binary/resource/no parsed columns,0,,
AreaBMP/ArkAstron_Skill02_W_Test.bmp,skill definitions and behavior,.bmp,104760,Binary/resource/no parsed columns,0,,
AreaBMP/B_Albireo_Skill01_W.bmp,skill definitions and behavior,.bmp,81080,Binary/resource/no parsed columns,0,,
AreaBMP/B_Albireo_Skill02_W.bmp,skill definitions and behavior,.bmp,101080,Binary/resource/no parsed columns,0,,
AreaBMP/Chimera_Skill_W03_2.BMP,skill definitions and behavior,.bmp,6251080,Binary/resource/no parsed columns,0,,
AreaBMP/Eglack_Skill05_W.bmp,skill definitions and behavior,.bmp,491080,Binary/resource/no parsed columns,0,,
AreaBMP/FinalLight.bmp,Final Light data/configuration,.bmp,48064,Binary/resource/no parsed columns,0,,
AreaBMP/KDFargels_DKnight_Skill01_W_G.bmp,skill definitions and behavior,.bmp,81080,Binary/resource/no parsed columns,0,,
AreaBMP/KDFargels_DKnight_Skill02_W_G.bmp,skill definitions and behavior,.bmp,361080,Binary/resource/no parsed columns,0,,
AreaBMP/KDFargels_Skill01_W_g.bmp,skill definitions and behavior,.bmp,251080,Binary/resource/no parsed columns,0,,
AreaBMP/KDFargels_Skill02_W_g.bmp,skill definitions and behavior,.bmp,2251080,Binary/resource/no parsed columns,0,,
