File,System / File Purpose,Format,Table/Schema,Column #,Column,Type,Length,Rows/Records,Example Values,Plain English Meaning,Server Link / Use Hint,Confidence,Notes
AbState.shn,buff/debuff/abnormal state definitions,SHN,,1,ID,WORD,2,777,0 | 1 | 2,Unique numeric row ID for this buff/debuff/abnormal state definitions table. The server uses it to look up or link this row.,Use as a lookup/link field when wiring buff/debuff/abnormal state definitions into server tables/services. Numeric identifier used as a foreign key or lookup key.,High,
AbState.shn,buff/debuff/abnormal state definitions,SHN,,2,InxName,STRING,32,777,StaSeverBone | StaRedSlash | StaBattleBlowStun,Internal string name/key for this buff/debuff/abnormal state definitions row. Usually the safest human-readable key for linking scripts/server logic.,"Use as a lookup/link field when wiring buff/debuff/abnormal state definitions into server tables/services. String key used by other SHN rows, scripts, or server code.",High,
AbState.shn,buff/debuff/abnormal state definitions,SHN,,3,AbStataIndex,DWORD_11,4,777,0 | 1 | 2,Coordinate/position value used by this buff/debuff/abnormal state definitions table.,Use when implementing/loading buff/debuff/abnormal state definitions; exact server branch depends on the file's system.,Medium,
AbState.shn,buff/debuff/abnormal state definitions,SHN,,4,KeepTimeRatio,DWORD,4,777,0 | 0 | 0,"Chance/rate/multiplier used by this buff/debuff/abnormal state definitions table. The exact scale may be percent, per-10k, or table-specific until runtime confirms it.",Use as a tunable gameplay/config value for buff/debuff/abnormal state definitions; preserve type and verify scale during runtime tests.,High,
AbState.shn,buff/debuff/abnormal state definitions,SHN,,5,KeepTimePower,BYTE,1,777,0 | 1 | 0,"Time, duration, delay, cooldown, or reset value used by this buff/debuff/abnormal state definitions table.",Use as a tunable gameplay/config value for buff/debuff/abnormal state definitions; preserve type and verify scale during runtime tests.,High,
AbState.shn,buff/debuff/abnormal state definitions,SHN,,6,StateGrade,BYTE,1,777,0 | 0 | 0,State Grade value for buff/debuff/abnormal state definitions. Confirm exact formula/branch in server code before treating it as final.,Use when implementing/loading buff/debuff/abnormal state definitions; exact server branch depends on the file's system.,Medium,
AbState.shn,buff/debuff/abnormal state definitions,SHN,,7,PartyState1,STRING,32,777,- | - | -,Text/key/resource string used by this buff/debuff/abnormal state definitions table.,Use when implementing/loading buff/debuff/abnormal state definitions; exact server branch depends on the file's system.,Medium,
AbState.shn,buff/debuff/abnormal state definitions,SHN,,8,PartyState2,STRING,32,777,- | - | -,Text/key/resource string used by this buff/debuff/abnormal state definitions table.,Use when implementing/loading buff/debuff/abnormal state definitions; exact server branch depends on the file's system.,Medium,
AbState.shn,buff/debuff/abnormal state definitions,SHN,,9,PartyState3,STRING,32,777,- | - | -,Text/key/resource string used by this buff/debuff/abnormal state definitions table.,Use when implementing/loading buff/debuff/abnormal state definitions; exact server branch depends on the file's system.,Medium,
AbState.shn,buff/debuff/abnormal state definitions,SHN,,10,PartyState4,STRING,32,777,- | - | -,Text/key/resource string used by this buff/debuff/abnormal state definitions table.,Use when implementing/loading buff/debuff/abnormal state definitions; exact server branch depends on the file's system.,Medium,
AbState.shn,buff/debuff/abnormal state definitions,SHN,,11,PartyState5,STRING,32,777,- | - | -,Text/key/resource string used by this buff/debuff/abnormal state definitions table.,Use when implementing/loading buff/debuff/abnormal state definitions; exact server branch depends on the file's system.,Medium,
