File,Column,System / File Purpose,Likely Link Target / Use,Example Values,Confidence
AbState.shn,ID,buff/debuff/abnormal state definitions,Numeric identifier used as a foreign key or lookup key.,0 | 1 | 2,High
AbState.shn,InxName,buff/debuff/abnormal state definitions,"String key used by other SHN rows, scripts, or server code.",StaSeverBone | StaRedSlash | StaBattleBlowStun,High
AbState.shn,AbStataIndex,buff/debuff/abnormal state definitions,Links to AbState buff/debuff definitions.,0 | 1 | 2,Medium
AbState.shn,SubAbState,buff/debuff/abnormal state definitions,Links to AbState buff/debuff definitions.,SubStaSeverBone | SubStaRedSlash | SubStaBattleBlowStun,High
AbState.shn,AbStateSaveType,buff/debuff/abnormal state definitions,Links to AbState buff/debuff definitions.,1 | 1 | 1,High
AbStateSaveTypeInfo.shn,AbStateSaveType,buff/debuff persistence/save behavior,Links to AbState buff/debuff definitions.,0 | 1 | 2,High
AccUpGradeInfo.shn,ID,accessory upgrade/enhancement rules,Numeric identifier used as a foreign key or lookup key.,580 | 580 | 580,High
AccUpGradeInfo.shn,InxName,accessory upgrade/enhancement rules,"String key used by other SHN rows, scripts, or server code.",Acc1UP5 | Acc1UP5 | Acc1UP5,High
AccUpgrade.shn,ID,accessory upgrade/enhancement rules,Numeric identifier used as a foreign key or lookup key.,1 | 1 | 1,High
ActionEffectAbState.shn,InxName,buff/debuff/abnormal state definitions,"String key used by other SHN rows, scripts, or server code.",,High
ActionEffectAbState.shn,ItemActionID,buff/debuff/abnormal state definitions,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,,High
ActionEffectItem.shn,SHINE_ITEM_ID,action effects that give/use/change items,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,61000 | 61001 | 61002,High
ActionEffectItem.shn,ItemActionID,action effects that give/use/change items,Links to item tables such as ItemInfo / ItemInfoServer. Numeric identifier used as a foreign key or lookup key.,244 | 245 | 246,High
ActionViewInfo.shn,InxName,visual/display data for actions,"String key used by other SHN rows, scripts, or server code.",attack | looting | trade,High
