side,file,category
server,AbState.shn,Skill / Battle / Roe; Character / Stats / Class
server,AbStateSaveTypeInfo.shn,Skill / Battle / Roe; Character / Stats / Class; Database / SQL / Logging
server,AccUpGradeInfo.shn,Item / Inventory
server,AccUpgrade.shn,Item / Inventory
server,ActionEffectAbState.shn,Skill / Battle / Roe; Character / Stats / Class
server,ActionEffectItem.shn,Item / Inventory
server,ActionRangeFactor.shn,Unclassified / shared / STL / helper
server,ActionViewInfo.shn,Unclassified / shared / STL / helper
server,ActiveSkill.shn,Skill / Battle / Roe
server,ActiveSkillGroup.shn,Skill / Battle / Roe
server,ActiveSkillInfoServer.shn,Skill / Battle / Roe
server,AdminLvSet.shn,GM / Admin / Optool / Prison
server,AnnounceData.shn,Unclassified / shared / STL / helper
server,AreaSkill.shn,Skill / Battle / Roe
server,AttendReward.shn,Unclassified / shared / STL / helper
server,AttendSchedule.shn,Unclassified / shared / STL / helper
server,BMP.shn,Unclassified / shared / STL / helper
server,BRAccUpgrade.shn,Item / Inventory
server,BRAccUpgradeInfo.shn,Item / Inventory
server,BadNameFilter.shn,Security / Filters / Anti-spam
server,BelongDice.shn,Item / Inventory
server,BelongTypeInfo.shn,Item / Inventory
server,CharacterTitleData.shn,Character / Stats / Class
server,CharacterTitleStateServer.shn,Character / Stats / Class
server,ChargedDeletableBuff.shn,Character / Stats / Class
server,ChargedEffect.shn,Character / Stats / Class
server,ChatColor.shn,Unclassified / shared / STL / helper
server,ClassName.shn,Character / Stats / Class
server,CollectCard.shn,Card Collection
server,CollectCardDropRate.shn,Card Collection
server,CollectCardGroupDesc.shn,Card Collection
server,CollectCardMobGroup.shn,Card Collection; Mob / AI / Spawn
server,CollectCardReward.shn,Card Collection
server,CollectCardStarRate.shn,Card Collection
server,CollectCardTitle.shn,Card Collection; Character / Stats / Class
server,ColorInfo.shn,Unclassified / shared / STL / helper
server,DamageLvGapEVP.shn,Skill / Battle / Roe
server,DamageLvGapPVE.shn,Skill / Battle / Roe
server,DamageLvGapPVP.shn,Skill / Battle / Roe
server,DiceDividind.shn,Unclassified / shared / STL / helper
server,DiceGame.shn,Unclassified / shared / STL / helper
server,DiceRate.shn,Unclassified / shared / STL / helper
server,EnchantSocketRate.shn,Network / Protocol / IOCP
server,ErrorCodeTable.shn,Unclassified / shared / STL / helper
server,FaceInfo.shn,Unclassified / shared / STL / helper
server,FieldLvCondition.shn,Map / Field / Movement
server,FriendPointReward.shn,Master Apprentice / Social
server,GBBanTime.shn,Unclassified / shared / STL / helper
server,GBDiceDividind.shn,Gamble / Slot Machine
server,GBDiceGame.shn,Gamble / Slot Machine
server,GBDiceRate.shn,Gamble / Slot Machine
server,GBEventCode.shn,Unclassified / shared / STL / helper
server,GBExchangeMaxCoin.shn,Unclassified / shared / STL / helper
server,GBHouse.shn,Unclassified / shared / STL / helper
server,GBJoinGameMember.shn,Unclassified / shared / STL / helper
server,GBReward.shn,Unclassified / shared / STL / helper
server,GBSMAll.shn,Gamble / Slot Machine
server,GBSMBetCoin.shn,Gamble / Slot Machine
server,GBSMCardRate.shn,Gamble / Slot Machine
server,GBSMCenter.shn,Gamble / Slot Machine
server,GBSMGroup.shn,Gamble / Slot Machine
server,GBSMJPRate.shn,Gamble / Slot Machine
server,GBSMLine.shn,Gamble / Slot Machine
server,GBSMNPC.shn,Gamble / Slot Machine; NPC / Dialog / Shops
server,GBTaxRate.shn,Unclassified / shared / STL / helper
server,GTIBreedSubject.shn,Unclassified / shared / STL / helper
server,GTIGetRate.shn,Unclassified / shared / STL / helper
server,GTIGetRateGap.shn,Unclassified / shared / STL / helper
server,GTIServer.shn,Unclassified / shared / STL / helper
server,GTWinScore.shn,Unclassified / shared / STL / helper
server,Gather.shn,Gather / Produce
server,GradeItemOption.shn,Item / Inventory
server,GroupAbState.shn,Skill / Battle / Roe; Character / Stats / Class
server,GuildAcademy.shn,Guild / Academy / Tournament
server,GuildAcademyLevelUp.shn,Character / Stats / Class; Guild / Academy / Tournament
server,GuildAcademyRank.shn,Guild / Academy / Tournament
server,GuildGradeData.shn,Guild / Academy / Tournament
server,GuildGradeScoreData.shn,Guild / Academy / Tournament
server,GuildLevelScoreData.shn,Character / Stats / Class; Guild / Academy / Tournament
server,GuildTournament.shn,Guild / Academy / Tournament
server,GuildTournamentLvGap.shn,Guild / Academy / Tournament
server,GuildTournamentMasterBuff.shn,Guild / Academy / Tournament; Master Apprentice / Social
server,GuildTournamentOccupy.shn,Guild / Academy / Tournament
server,GuildTournamentRequire.shn,Guild / Academy / Tournament
server,GuildTournamentReward.shn,Guild / Academy / Tournament
server,GuildTournamentScore.shn,Guild / Academy / Tournament
server,GuildTournamentSkill.shn,Skill / Battle / Roe; Guild / Academy / Tournament
server,HairColorInfo.shn,Mob / AI / Spawn
server,HairInfo.shn,Mob / AI / Spawn
server,HolyPromiseReward.shn,Wedding / HolyPromise
server,ItemAction.shn,Item / Inventory
server,ItemActionCondition.shn,Item / Inventory
server,ItemActionEffect.shn,Item / Inventory
server,ItemDismantle.shn,Item / Inventory
server,ItemDropLog.shn,Item / Inventory; Database / SQL / Logging
server,ItemInfo.shn,Item / Inventory
server,ItemInfoServer.shn,Item / Inventory
server,ItemInvenDel.shn,Item / Inventory
server,ItemMerchantInfo.shn,Item / Inventory; NPC / Dialog / Shops
server,ItemMix.shn,Item / Inventory
server,ItemMoney.shn,Item / Inventory
server,ItemOptions.shn,Item / Inventory
server,ItemPackage.shn,Item / Inventory
server,ItemServerEquipTypeInfo.shn,Item / Inventory
server,ItemShop.shn,Item / Inventory
server,ItemSort.shn,Item / Inventory
server,ItemUpgrade.shn,Item / Inventory
server,ItemUseEffect.shn,Item / Inventory
server,JobEquipInfo.shn,Item / Inventory
server,KQIsVote.shn,Lua / Instance / KQ
server,KQItem.shn,Item / Inventory; Lua / Instance / KQ
server,KQTeam.shn,Lua / Instance / KQ
server,KQVoteMajorityRate.shn,Lua / Instance / KQ
server,KingdomQuest.shn,Quest / PineScript / Scenario; Lua / Instance / KQ
server,KingdomQuestMap.shn,Map / Field / Movement; Quest / PineScript / Scenario; Lua / Instance / KQ
server,KingdomQuestRew.shn,Quest / PineScript / Scenario; Lua / Instance / KQ
server,LCGroupRate.shn,Unclassified / shared / STL / helper
server,LCReward.shn,Unclassified / shared / STL / helper
server,MapBuff.shn,Map / Field / Movement
server,MapInfo.shn,Map / Field / Movement
server,MapLinkPoint.shn,Map / Field / Movement
server,MapWayPoint.shn,Map / Field / Movement
server,MarketSearchInfo.shn,Auction / Market
server,MiniHouse.shn,Pet / Minimon / MiniHouse / Mover
server,MiniHouseDummy.shn,Pet / Minimon / MiniHouse / Mover
server,MiniHouseEndure.shn,Pet / Minimon / MiniHouse / Mover
server,MiniHouseFurniture.shn,Pet / Minimon / MiniHouse / Mover
server,MiniHouseFurnitureObjEffect.shn,Pet / Minimon / MiniHouse / Mover
server,MiniHouseObjAni.shn,Pet / Minimon / MiniHouse / Mover
server,MinimonAutoUseItem.shn,Item / Inventory; Pet / Minimon / MiniHouse / Mover
server,MinimonInfo.shn,Pet / Minimon / MiniHouse / Mover
server,MobAbStateDropSetting.shn,Skill / Battle / Roe; Mob / AI / Spawn; Character / Stats / Class
server,MobAutoAction.shn,Mob / AI / Spawn
server,MobConditionServer.shn,Mob / AI / Spawn
server,MobInfo.shn,Mob / AI / Spawn
server,MobInfoServer.shn,Mob / AI / Spawn
server,MobKillAble.shn,Mob / AI / Spawn
server,MobKillAnnounce.shn,Mob / AI / Spawn
server,MobKillLog.shn,Mob / AI / Spawn; Database / SQL / Logging
server,MobLifeTime.shn,Mob / AI / Spawn
server,MobNoFadeIn.shn,Mob / AI / Spawn
server,MobRegenAni.shn,Mob / AI / Spawn
server,MobResist.shn,Mob / AI / Spawn
